id,opportunity_created,date_purchased,first_name,last_name,email,gender,financed,pct_financed,car_make,car_model,car_year,car_color,purchase_price
1,2022-07-12,2023-03-14,Caressa,Pavluk,cpavluk0@prnewswire.com,Female,false,0.17,Nissan,200SX,1996,Orange,69829
2,2023-01-19,2023-02-22,Symon,Eyrl,seyrl1@purevolume.com,Male,true,0.13,Honda,Civic Si,2005,Mauv,61199
3,2023-01-09,2022-12-16,Brice,Unthank,bunthank2@dailymail.co.uk,Male,true,0.8,Saturn,VUE,2002,Blue,40799
4,2022-08-01,2023-04-04,Misha,Cargo,mcargo3@ycombinator.com,Female,false,0.68,Jaguar,XK Series,2004,Puce,42159
5,2022-11-10,2023-03-18,Ivy,Celes,iceles4@prnewswire.com,Female,true,0.58,Mazda,626,1992,Fuscia,93685
6,2022-09-29,2023-02-11,Kimberli,Artiss,kartiss5@feedburner.com,Polygender,false,0.23,Mitsubishi,Truck,1992,Aquamarine,78200
7,2022-09-08,2023-04-05,Hobart,Jannequin,hjannequin6@blinklist.com,Male,true,0.52,Land Rover,Range Rover Sport,2007,Green,15423
8,2022-12-16,2023-02-26,Lorrin,Orhrt,lorhrt7@engadget.com,Female,false,0.74,Audi,200,1990,Fuscia,46462
9,2022-09-17,2022-12-04,Spense,Crisell,scrisell8@bbb.org,Male,true,0.89,Mercedes-Benz,CLS-Class,2010,Puce,57425
10,2022-10-07,2023-03-17,Lillian,Vasishchev,lvasishchev9@flavors.me,Female,true,0.2,Jeep,Wrangler,2001,Turquoise,19911
11,2022-12-08,2023-04-14,Haley,Umney,humneya@ezinearticles.com,Female,false,0.62,Volvo,S80,2000,Green,64239
12,2022-12-30,2023-04-27,Maris,Cloutt,mclouttb@comcast.net,Female,false,1.0,Buick,Regal,1986,Green,23160
13,2023-01-25,2023-04-28,Ewan,Bernardet,ebernardetc@list-manage.com,Male,false,0.51,Dodge,Ram Van 3500,2000,Crimson,79817
14,2023-01-29,2023-05-08,Micheil,Mullaney,mmullaneyd@edublogs.org,Male,false,0.53,Porsche,Boxster,2001,Purple,31626
15,2023-02-11,2023-01-11,Jodi,Gerrard,jgerrarde@ehow.com,Female,false,0.18,Toyota,Sienna,2005,Yellow,34867
16,2022-10-13,2023-02-06,Rochell,Renne,rrennef@hao123.com,Female,false,0.16,Chrysler,Sebring,1999,Indigo,77527
17,2022-09-22,2023-03-26,Noemi,Blowin,nblowing@homestead.com,Female,false,0.94,Isuzu,i-Series,2008,Yellow,30847
18,2022-06-09,2023-03-05,Theodoric,O'Lagene,tolageneh@businesswire.com,Male,true,0.12,Oldsmobile,Achieva,1992,Yellow,39992
19,2022-07-27,2022-12-12,Gaile,Legrand,glegrandi@phpbb.com,Genderqueer,true,0.12,Pontiac,Sunfire,1998,Orange,36221
20,2023-01-09,2023-03-19,Stephine,Roze,srozej@g.co,Female,false,0.4,Chevrolet,Astro,1993,Orange,36841
21,2022-09-10,2023-04-28,Coletta,Schulken,cschulkenk@weebly.com,Female,false,0.15,Dodge,Dakota,1998,Purple,17188
22,2022-10-17,2023-05-10,Dyanna,Gierek,dgierekl@buzzfeed.com,Female,false,0.01,Nissan,Sentra,1995,Mauv,92976
23,2022-06-12,2023-01-07,Alden,Lanphere,alanpherem@psu.edu,Male,false,0.49,Volkswagen,GTI,2010,Crimson,57961
24,2022-11-25,2023-02-14,Raynell,Sinclair,rsinclairn@un.org,Female,true,0.16,Jeep,Wrangler,1992,Crimson,73338
25,2022-09-18,2022-11-25,Florence,Lambden,flambdeno@home.pl,Female,true,0.95,MINI,Cooper Countryman,2012,Purple,80308
26,2022-08-17,2023-02-22,Joby,Mabbot,jmabbotp@joomla.org,Female,true,0.13,Mitsubishi,Eclipse,2001,Green,40566
27,2022-05-21,2023-04-24,Lyndsay,Mariet,lmarietq@businesswire.com,Female,true,0.72,Ford,EXP,1985,Pink,86137
28,2022-11-23,2023-05-12,Amery,Beeden,abeedenr@prweb.com,Male,true,0.1,Mercedes-Benz,300CE,1993,Crimson,91621
29,2022-10-13,2022-12-13,Arte,Bruckner,abruckners@cdc.gov,Male,true,0.03,Ford,Bronco,1988,Turquoise,24266
30,2023-01-17,2023-02-25,Iolande,Swate,iswatet@gravatar.com,Female,false,0.81,Infiniti,QX,2006,Puce,71695
31,2022-12-14,2022-11-14,Verina,Le Floch,vleflochu@foxnews.com,Female,true,0.14,Lexus,LS,1991,Aquamarine,93231
32,2022-09-19,2023-05-07,Kenyon,Riteley,kriteleyv@cdbaby.com,Agender,true,0.58,Kia,Sephia,1997,Purple,27339
