id,opportunity_created,first_name,last_name,email,gender,financing_reqd,pct_financed,car_make_interest,car_model_interest,car_year_interest,car_color_interest,purchase_price_range
1,2018-02-21,Collete,Costell,ccostell0@uiuc.edu,,false,error: Field 'financed' not found,Nissan,Frontier,,Orange,66691
2,2021-09-27,Harv,Chieco,hchieco1@1688.com,,false,error: Field 'financed' not found,Isuzu,Oasis,,,23790
3,2021-11-09,Yetty,O' Brian,yobrian2@oakley.com,,false,error: Field 'financed' not found,Chrysler,Concorde,,Aquamarine,10856
4,2020-02-05,Darrin,Bruneton,dbruneton3@dyndns.org,Male,true,error: Field 'financed' not found,Subaru,,,Green,52884
5,2018-05-18,Elyse,Jindra,ejindra4@free.fr,Female,true,error: Field 'financed' not found,GMC,,,Pink,44829
6,2020-07-07,Ailey,Segrott,asegrott5@wordpress.org,,false,error: Field 'financed' not found,Nissan,,,Puce,30547
7,2018-07-03,Gerry,Ronnay,gronnay6@msu.edu,Non-binary,false,error: Field 'financed' not found,Mitsubishi,,,Purple,58382
8,2020-02-07,Merna,Iffe,miffe7@mashable.com,Female,false,error: Field 'financed' not found,Pontiac,,,Goldenrod,34005
9,2019-01-01,Kahaleel,Frankcombe,kfrankcombe8@usatoday.com,Male,true,error: Field 'financed' not found,GMC,,,,44723
10,2023-01-25,Jackqueline,Rubinchik,jrubinchik9@edublogs.org,Female,false,error: Field 'financed' not found,Chevrolet,,,,44096
11,2018-07-24,Lona,Adlard,ladlarda@com.com,,false,error: Field 'financed' not found,,,,Pink,51126
12,2018-03-25,Shauna,Hush,shushb@deliciousdays.com,,false,error: Field 'financed' not found,Jaguar,,,Red,22300
13,2019-06-28,Clayton,Perkins,cperkinsc@apache.org,,true,error: Field 'financed' not found,Aptera,Typ-1,2009,Puce,28637
14,2019-01-11,Clementine,oldey,coldeyd@kickstarter.com,,false,error: Field 'financed' not found,Chevrolet,,,Blue,61491
15,2019-06-30,Eadith,Exelby,eexelbye@blogtalkradio.com,,false,error: Field 'financed' not found,Suzuki,Swift,,Blue,68323
16,2023-04-29,Ellswerth,Eggerton,eeggertonf@t-online.de,Male,true,error: Field 'financed' not found,Porsche,,2008,Purple,93508
17,2022-01-29,Cletus,Raleston,cralestong@dailymotion.com,,true,error: Field 'financed' not found,,,,Crimson,86663
18,2021-02-23,Fremont,Ervine,fervineh@hatena.ne.jp,,false,error: Field 'financed' not found,Audi,,,Puce,76584
19,2022-11-04,Merrel,Kench,mkenchi@lycos.com,,false,error: Field 'financed' not found,Mazda,,,Turquoise,68965
20,2021-05-07,Eve,Ingles,einglesj@who.int,,true,error: Field 'financed' not found,,Expo,,Puce,45525
21,2020-12-10,Ulric,Donhardt,udonhardtk@unc.edu,,true,error: Field 'financed' not found,,,,Khaki,65920
22,2022-11-19,Richy,Trevett,rtrevettl@smh.com.au,,true,error: Field 'financed' not found,,,2007,Mauv,34161
23,2019-09-01,Meir,McInerney,mmcinerneym@netscape.com,,false,error: Field 'financed' not found,Chevrolet,,,Maroon,69010
24,2022-02-18,Kelwin,Astbury,kastburyn@china.com.cn,,false,error: Field 'financed' not found,Hyundai,,,,12352
25,2022-04-28,Allie,Sharpless,asharplesso@infoseek.co.jp,Male,false,error: Field 'financed' not found,Lexus,,,Aquamarine,11496
