id,opportunity_created,date_purchased,first_name,last_name,email,gender,financed,pct_financed,car_make,car_model,car_year,car_color,purchase_price
1,2020-06-12,2/13/2021,Emelina,Headington,eheadington0@cbc.ca,Female,false,0.7,Ford,Escort,1988,Yellow,41959
2,2020-01-24,5/18/2022,Ellen,Denerley,edenerley1@utexas.edu,Female,false,0.15,Mercury,Topaz,1993,Pink,40932
3,2020-03-06,7/23/2022,Saleem,Cockarill,scockarill2@google.com.au,Male,true,0.28,Lincoln,Navigator,2004,Aquamarine,8271
4,2020-04-03,5/15/2022,Marcel,Batistelli,mbatistelli3@artisteer.com,Male,true,0.67,Chrysler,Concorde,2002,Orange,38620
5,2020-06-02,4/14/2022,Hermie,Baunton,hbaunton4@hhs.gov,Male,false,0.17,Land Rover,Discovery,2002,Mauv,62625
6,2020-12-26,11/15/2021,Richie,Rablan,rrablan5@fc2.com,Male,false,0.18,Mercury,Grand Marquis,1993,Aquamarine,56323
7,2020-11-16,11/9/2022,Gary,Mochar,gmochar6@cmu.edu,Male,true,0.8,Chevrolet,Cavalier,2001,Red,10705
8,2020-07-25,1/19/2021,Wells,Josephoff,wjosephoff7@hc360.com,Male,false,0.47,GMC,Savana 2500,2002,Mauv,44692
9,2020-05-06,9/16/2022,Jobey,Becke,jbecke8@bing.com,Female,true,0.83,Maserati,Biturbo,1985,Blue,38879
10,2020-07-31,9/28/2021,Obadiah,Denisyuk,odenisyuk9@com.com,Male,true,0.12,Buick,Hearse,1996,Pink,72851
11,2020-11-18,7/6/2022,Idell,Novacek,inovaceka@state.gov,Female,false,0.56,Chevrolet,Corvette,1992,Pink,8354
12,2020-05-28,7/4/2021,Reynold,Brazier,rbrazierb@friendfeed.com,Male,false,0.21,Chevrolet,Suburban 1500,2004,Fuscia,50087
13,2020-11-13,12/19/2022,Sandy,Devonshire,sdevonshirec@fastcompany.com,Male,false,0.56,Mazda,Miata MX-5,2004,Khaki,46132
14,2020-04-28,7/20/2022,Milton,McKeefry,mmckeefryd@vkontakte.ru,Male,true,0.98,GMC,Rally Wagon 2500,1992,Aquamarine,28572
15,2020-09-09,9/15/2022,Andrey,Hostan,ahostane@hp.com,Male,false,0.29,BMW,7 Series,2006,Puce,24396
16,2020-04-12,8/1/2021,Gill,Fryer,gfryerf@earthlink.net,Female,false,0.62,Dodge,Ram 2500,1996,Crimson,72039
17,2020-08-04,4/27/2022,Abeu,Halse,ahalseg@ft.com,Male,true,0.31,GMC,Acadia,2012,Purple,60170
18,2020-10-19,4/8/2022,Odelia,Benham,obenhamh@wikimedia.org,Female,false,0.58,Toyota,Yaris,2007,Turquoise,19744
19,2020-08-31,11/20/2022,Barnabe,Base,bbasei@taobao.com,Male,true,0.47,Chevrolet,Corvette,2009,Khaki,42951
20,2020-12-02,6/1/2021,Boyce,Tully,btullyj@sourceforge.net,Male,true,0.14,Mazda,Miata MX-5,1999,Green,69085
21,2020-06-23,10/18/2021,Helaina,Wegner,hwegnerk@imgur.com,Female,true,0.72,Nissan,Versa,2010,Fuscia,7871
22,2020-10-28,8/30/2022,Clementina,Loney,cloneyl@hhs.gov,Female,true,0.81,Mitsubishi,Eclipse,2012,Fuscia,22581
23,2020-01-23,8/23/2022,Fairlie,Shivell,fshivellm@studiopress.com,Male,true,0.03,Oldsmobile,Achieva,1994,Teal,20320
24,2020-10-02,3/20/2021,Arni,Gyrgorwicx,agyrgorwicxn@163.com,Male,false,0.19,Nissan,Sentra,2002,Aquamarine,11155
25,2020-10-14,10/30/2022,Christean,Trillo,ctrilloo@wikia.com,Female,false,0.15,Audi,Coupe GT,1985,Yellow,17082
26,2020-07-20,4/25/2021,Fraze,Blatchford,fblatchfordp@bluehost.com,Male,false,0.76,Mercedes-Benz,R-Class,2011,Yellow,16202
27,2020-03-06,11/1/2022,Garret,Poxon,gpoxonq@over-blog.com,Polygender,false,0.27,Buick,Skylark,1994,Red,10862
28,2020-12-29,5/3/2021,Amory,Sivess,asivessr@tumblr.com,Male,true,0.05,Mercedes-Benz,SL-Class,1984,Aquamarine,66336
29,2020-05-29,6/14/2022,Haley,Ruseworth,hruseworths@webnode.com,Male,false,0.46,Toyota,Camry Hybrid,2010,Puce,57440
30,2020-03-27,3/5/2022,Gracia,Pullin,gpullint@ihg.com,Female,true,0.16,Pontiac,Grand Prix,1996,Crimson,68475
31,2020-05-19,1/14/2021,Yale,Peters,ypetersu@google.fr,Male,true,0.65,Lexus,SC,1994,Fuscia,59815
32,2020-09-28,9/29/2022,Sterne,Monks,smonksv@mit.edu,Male,true,0.05,Volkswagen,Jetta,1990,Indigo,29399
33,2020-07-16,2/16/2021,Marena,Beenham,mbeenhamw@imageshack.us,Female,false,0.86,Pontiac,Fiero,1987,Green,14308
